source,degeneracy_id,formula,is_ring,used_in_objective,log_P_exist,P_exist,individual_loss,C#C,C-C,C-O,C=C,C=O,O-O,O=O,C#O
pseudo_negative,C24H46O2_002,C24H46O2,False,True,-0.3789360909484391,0.6845893627251314,0.4686625955564015,0,22,1,1,1,0,0,0
pseudo_negative,C24H46O2_003,C24H46O2,False,True,-0.37754608566272707,0.6855416072169795,0.46996729522563946,0,23,0,0,2,0,0,0
pseudo_negative,C24H46O2_004,C24H46O2,False,True,-0.3848530734019071,0.6805506198466836,0.4631491461737053,1,22,2,0,0,0,0,0
pseudo_negative,C24H46O_001,C24H46O,False,True,-0.3650045434698164,0.6941934968236141,0.4819046110321971,0,21,1,2,0,0,0,0
pseudo_negative,C24H46O_002,C24H46O,False,True,-0.3636145381841043,0.6951591003950687,0.48324617486208116,0,22,0,1,1,0,0,0
pseudo_negative,C24H46O_003,C24H46O,False,True,-0.36953152063757233,0.6910580012267545,0.47756116105951707,1,22,1,0,0,0,0,0
pseudo_negative,C24H46_001,C24H46,False,True,-0.3496829907054816,0.7049115178054096,0.4969002479347263,0,21,0,2,0,0,0,0
pseudo_negative,C24H46_002,C24H46,False,True,-0.3542099678732375,0.7017276116317451,0.49242164092639334,1,22,0,0,0,0,0,0
pseudo_negative,C24H48O2_001,C24H48O2,False,True,-0.3878496065077981,0.678514379738179,0.46038176351148574,0,22,2,1,0,0,0,0
pseudo_negative,C24H48O2_002,C24H48O2,False,True,-0.386459601222086,0.6794581741000626,0.46166341035139097,0,23,1,0,1,0,0,0
pseudo_negative,C24H48O_001,C24H48O,False,True,-0.37252805374346326,0.6889903225289994,0.4747076645386146,0,22,1,1,0,0,0,0
pseudo_negative,C24H48O_002,C24H48O,False,True,-0.37113804845775117,0.6899486886317874,0.47602919294472307,0,23,0,0,1,0,0,0
pseudo_negative,C24H48_001,C24H48,False,True,-0.3572065009791284,0.6996280089477132,0.4894793509041414,0,22,0,1,0,0,0,0
pseudo_negative,C24H50O2_001,C24H50O2,False,True,-0.39537311678144493,0.6734287248086325,0.4535062473973808,0,23,2,0,0,0,0,0
pseudo_negative,C24H50O_001,C24H50O,False,True,-0.38005156401711016,0.6838261474800763,0.4676181999774431,0,23,1,0,0,0,0,0
pseudo_negative,C24H50_001,C24H50,False,True,-0.3647300112527753,0.6943841014657129,0.48216928036834555,0,23,0,0,0,0,0,0
pseudo_negative,C25H38O2_001,C25H38O2,False,True,-0.36031333803845633,0.6974577517851499,0.48644731552519577,1,20,0,3,2,0,0,0
pseudo_negative,C25H40O2_001,C25H40O2,False,True,-0.36922685359781526,0.6912685758982408,0.47785224402438187,1,20,1,3,1,0,0,0
pseudo_negative,C25H40O2_002,C25H40O2,False,True,-0.36783684831210317,0.6922301109871977,0.479182526557348,1,21,0,2,2,0,0,0
pseudo_negative,C25H40O_001,C25H40O,False,True,-0.35390530083348043,0.7019414374770865,0.4927217816473985,1,20,0,3,1,0,0,0
pseudo_negative,C25H42O2_001,C25H42O2,False,True,-0.3708333814179941,0.6901589252807997,0.47631934214474847,0,21,0,3,2,0,0,0
pseudo_negative,C25H42O2_002,C25H42O2,False,True,-0.37814036915717425,0.6851343221884255,0.46940903944059326,1,20,2,3,0,0,0,0
pseudo_negative,C25H42O2_003,C25H42O2,False,True,-0.3767503638714621,0.6860873247035144,0.4707158171188256,1,21,1,2,1,0,0,0
pseudo_negative,C25H42O2_004,C25H42O2,False,True,-0.37536035858575,0.6870416528182183,0.4720262327071892,1,22,0,1,2,0,0,0
pseudo_negative,C25H42O_001,C25H42O,False,True,-0.3628188163928394,0.6957124737760796,0.4840158461676322,1,20,1,3,0,0,0,0
pseudo_negative,C25H42O_002,C25H42O,False,True,-0.36142881110712727,0.696680190201626,0.48536328741937373,1,21,0,2,1,0,0,0
pseudo_negative,C25H42_001,C25H42,False,True,-0.3474972636285046,0.706453947047362,0.4990771792987969,1,20,0,3,0,0,0,0
pseudo_negative,C25H44O2_001,C25H44O2,False,True,-0.37974689697735303,0.684034518508418,0.46790322251104327,0,21,1,3,1,0,0,0
pseudo_negative,C25H44O2_002,C25H44O2,False,True,-0.37835689169164094,0.6849859912276125,0.46920580817807483,0,22,0,2,2,0,0,0
pseudo_negative,C25H44O2_003,C25H44O2,False,True,-0.3856638794308211,0.6799990489398563,0.4623987065591091,1,21,2,2,0,0,0,0
pseudo_negative,C25H44O2_004,C25H44O2,False,True,-0.38427387414510894,0.6809449084347182,0.4636859683231668,1,22,1,1,1,0,0,0
pseudo_negative,C25H44O2_005,C25H44O2,False,True,-0.3828838688593969,0.6818920835934555,0.46497681366742416,1,23,0,0,2,0,0,0
pseudo_negative,C25H44O_001,C25H44O,False,True,-0.3644253442130182,0.6945956896446963,0.4824631720729913,0,21,0,3,1,0,0,0
pseudo_negative,C25H44O_002,C25H44O,False,True,-0.37034232666648625,0.6904979143246328,0.47678736968666796,1,21,1,2,0,0,0,0
pseudo_negative,C25H44O_003,C25H44O,False,True,-0.3689523213807741,0.6914583774450807,0.47811468773898363,1,22,0,1,1,0,0,0
pseudo_negative,C25H44_001,C25H44,False,True,-0.3550207739021514,0.7011588772513684,0.4916237711483995,1,21,0,2,0,0,0,0
pseudo_negative,C25H46O2_001,C25H46O2,False,True,-0.388660412536712,0.6779644591579701,0.4596358078813589,0,21,2,3,0,0,0,0
