stage,rank,A,E_ref,k,total_loss,positive_loss,separation_loss,regularization_loss,mean_positive_log_score,pseudo_log_score_statistic,score_gap
random,94,8.32270717300185,148.64694468189956,342.42534308208855,0.05688743375868276,0.04537820823739804,0.013111835149406642,0.0016753491592297347,-0.04537820823739804,-0.1322663730879914,0.08688816485059336
random,95,5.2954003575549855,793.3687086834665,4065.0212336614095,0.056890392471047234,0.05144815367979053,0.0028340254462188574,0.0033167197065925584,-0.05144815367979053,-0.14861412823357167,0.09716597455378115
random,96,2.2175319562886084,725.9596221325494,518.0183908240114,0.05689946510630045,0.05341728141393024,0.0,0.003482183692370206,-0.05341728141393024,-0.15617121332738132,0.10275393191345109
random,97,3.0591185413662316,170.56450686921622,199.9690403440035,0.056920237847501526,0.05260765672681187,0.0,0.004312581120689652,-0.05260765672681187,-0.15461906809054596,0.1020114113637341
random,98,2.5494091578608997,738.6633385289947,723.0679079811866,0.05693892860600409,0.04750123263482686,0.008870286363601654,0.002784981198475983,-0.04750123263482686,-0.1386309462712252,0.09112971363639835
random,99,2.526316950481109,228.16591584686964,230.90407936904538,0.05694645883313474,0.052830222610365976,0.0,0.004116236222768762,-0.052830222610365976,-0.15489839020843185,0.10206816759806588
random,100,4.584660454306415,503.5864118890478,1221.9834101539936,0.056946496336805125,0.05602981440008589,0.0,0.000916681936719232,-0.05602981440008589,-0.16202062220123217,0.10599080780114628
random,101,3.987620001716928,421.402970427174,709.004159777209,0.05694873090118994,0.055869720099908704,0.0,0.0010790108012812328,-0.055869720099908704,-0.16194562008224517,0.10607589998233646
random,102,2.76661875805283,148.53268825244143,186.0359670227,0.05699676655106972,0.049823849030709244,0.002932156830388055,0.00497379989756944,-0.049823849030709244,-0.1468916922003212,0.09706784316961195
random,103,5.132672710799768,118.82302245890725,177.20088891233192,0.057013598337900685,0.05271648512947166,0.0,0.004297113208429024,-0.05271648512947166,-0.15535330255903868,0.10263681742956701
random,104,5.9366160111200665,70.8299967174917,149.23793155524842,0.05704645571936913,0.05029410859586658,0.001037778257270472,0.005974013430549693,-0.05029410859586658,-0.14925633033859612,0.09896222174272953
random,105,12.119206522402934,172.63917744727004,611.5747365826066,0.05706283739014948,0.05647876411949365,0.0,0.0005840732706558296,-0.05647876411949365,-0.163163584601708,0.10668482048221434
