source,degeneracy_id,formula,is_ring,used_in_objective,log_P_exist,P_exist,individual_loss,C#C,C-C,C-O,C=C,C=O,O-O,O=O,C#O
positive,C16H33O2_002,C16H33O2,False,True,-0.7456188112400319,0.47444061989470887,0.2762126620166579,0,15,1,0,0,1,0,0
positive,C16H33O4_001,C16H33O4,False,True,-0.8421934662339594,0.4307646187573242,0.3240289192584945,0,15,2,0,0,2,0,0
positive,C16H33O_001,C16H33O,False,True,-0.6917671139235431,0.5006905096832946,0.24930996712032807,0,15,1,0,0,0,0,0
positive,C16H33_001,C16H33,False,True,-0.6490441562461045,0.5225450095122243,0.227963267941682,0,15,0,0,0,0,0,0
positive,C16H34O2_001,C16H34O2,False,True,-0.7456188112400319,0.47444061989470887,0.2762126620166579,0,15,1,0,0,1,0,0
positive,C16H34_001,C16H34,False,True,-0.6490441562461045,0.5225450095122243,0.227963267941682,0,15,0,0,0,0,0,0
positive,C2H2O_001,C2H2O,False,True,-0.06271588050923495,0.9392102837319068,0.0036953896039552694,0,0,0,1,1,0,0,0
positive,C2H2_001,C2H2,False,True,-0.026720137102399903,0.9736336873437614,0.000695182443086526,1,0,0,0,0,0,0,0
positive,C2H3O2_001,C2H3O2,False,True,-0.1153921444974519,0.8910166681052681,0.01187736663087728,0,1,1,0,1,0,0,0
positive,C2H3O3_001,C2H3O3,False,True,-0.16924384181394075,0.8443030019078588,0.024241555214904224,0,1,1,0,1,1,0,0
positive,C2H3O_001,C2H3O,False,True,-0.07603926178306716,0.9267798188168657,0.00536119493249102,0,0,1,1,0,0,0,0
positive,C2H3O_002,C2H3O,False,True,-0.07266918682001332,0.9299084051046318,0.004912831674976406,0,1,0,0,1,0,0,0
positive,C2H3_001,C2H3,False,True,-0.03331630410562859,0.9672325715654653,0.0010737043662123551,0,0,0,1,0,0,0,0
positive,C2H4O3_001,C2H4O3,False,True,-0.16924384181394075,0.8443030019078588,0.024241555214904224,0,1,1,0,1,1,0,0
positive,C2H4O_001,C2H4O,False,True,-0.07266918682001332,0.9299084051046318,0.004912831674976406,0,1,0,0,1,0,0,0
positive,C2H4O_002,C2H4O,True,True,-0.12871552577128414,0.8792240465556078,0.014586830930401988,0,1,2,0,0,0,0,0
positive,C2H4_001,C2H4,False,True,-0.03331630410562859,0.9672325715654653,0.0010737043662123551,0,0,0,1,0,0,0,0
positive,C2H5O2_001,C2H5O2,False,True,-0.1398442654103344,0.869493635089802,0.01703191128207375,0,1,1,0,0,1,0,0
positive,C2H5O2_002,C2H5O2,False,True,-0.1398442654103344,0.869493635089802,0.01703191128207375,0,1,1,0,0,1,0,0
positive,C2H5O3_001,C2H5O3,False,True,-0.1398442654103344,0.869493635089802,0.01703191128207375,0,1,1,0,0,1,0,0
positive,C2H5O4_001,C2H5O4,False,True,-0.1398442654103344,0.869493635089802,0.01703191128207375,0,1,1,0,0,1,0,0
positive,C2H5O_001,C2H5O,False,True,-0.08599256809384555,0.9176010507197062,0.006789586842496428,0,1,1,0,0,0,0,0
positive,C2H5O_002,C2H5O,False,True,-0.08599256809384555,0.9176010507197062,0.006789586842496428,0,1,1,0,0,0,0,0
positive,C2H5_001,C2H5,False,True,-0.043269610416406964,0.9576531619903276,0.0017932546894174374,0,1,0,0,0,0,0,0
positive,C2H6O2_001,C2H6O2,False,True,-0.1398442654103344,0.869493635089802,0.01703191128207375,0,1,1,0,0,1,0,0
positive,C2H6O_001,C2H6O,False,True,-0.08599256809384555,0.9176010507197062,0.006789586842496428,0,1,1,0,0,0,0,0
positive,C2H6_001,C2H6,False,True,-0.043269610416406964,0.9576531619903276,0.0017932546894174374,0,1,0,0,0,0,0,0
positive,C2HO_001,C2HO,False,True,-0.06271588050923495,0.9392102837319068,0.0036953896039552694,0,0,0,1,1,0,0,0
positive,C2H_001,C2H,False,True,-0.026720137102399903,0.9736336873437614,0.000695182443086526,1,0,0,0,0,0,0,0
positive,C3H2_001,C3H2,False,True,-0.08653922083281393,0.9170995786700726,0.006872479856679476,0,2,0,0,0,0,0,0
positive,C3H3O_001,C3H3O,False,True,-0.10598549092564191,0.8994376979896933,0.010112776585612134,0,1,0,1,1,0,0,0
positive,C3H3_001,C3H3,False,True,-0.08653922083281393,0.9170995786700726,0.006872479856679476,0,2,0,0,0,0,0,0
positive,C3H4O_001,C3H4O,False,True,-0.10598549092564191,0.8994376979896933,0.010112776585612134,0,1,0,1,1,0,0,0
positive,C3H4_001,C3H4,False,True,-0.06663260821125717,0.9355388474971428,0.004155240181996616,0,0,0,2,0,0,0,0
positive,C3H4_002,C3H4,False,True,-0.06998974751880686,0.9324033793050551,0.0045693031293762496,1,1,0,0,0,0,0,0
positive,C3H5O2_001,C3H5O2,False,True,-0.11593879723642028,0.890529724509833,0.01198374121589305,0,2,0,0,1,0,0,0
positive,C3H5O3_001,C3H5O3,False,True,-0.21251345223034773,0.8085494394549865,0.03665331713299989,0,2,1,0,1,1,0,0
positive,C3H5O_001,C3H5O,False,True,-0.11930887219947413,0.8875336239587943,0.012648685739841884,0,1,1,1,0,0,0,0
positive,C3H5O_002,C3H5O,False,True,-0.11930887219947413,0.8875336239587943,0.012648685739841884,0,1,1,1,0,0,0,0
positive,C3H5O_003,C3H5O,False,True,-0.11593879723642028,0.890529724509833,0.01198374121589305,0,2,0,0,1,0,0,0
positive,C3H5_001,C3H5,False,True,-0.07658591452203556,0.9262733305397036,0.005435621789707799,0,1,0,1,0,0,0,0
positive,C3H6O3_001,C3H6O3,False,True,-0.21251345223034773,0.8085494394549865,0.03665331713299989,0,2,1,0,1,1,0,0
positive,C3H6O_001,C3H6O,False,True,-0.11930887219947413,0.8875336239587943,0.012648685739841884,0,1,1,1,0,0,0,0
positive,C3H6O_002,C3H6O,False,True,-0.11593879723642028,0.890529724509833,0.01198374121589305,0,2,0,0,1,0,0,0
positive,C3H6O_003,C3H6O,True,True,-0.1719851361876911,0.8419916882819088,0.024966626572001462,0,2,2,0,0,0,0,0
positive,C3H6_001,C3H6,False,True,-0.07658591452203556,0.9262733305397036,0.005435621789707799,0,1,0,1,0,0,0,0
positive,C3H7O2_001,C3H7O2,False,True,-0.18311387582674138,0.832673328974213,0.027998214836571955,0,2,1,0,0,1,0,0
positive,C3H7O2_002,C3H7O2,False,True,-0.18311387582674138,0.832673328974213,0.027998214836571955,0,2,1,0,0,1,0,0
positive,C3H7O3_001,C3H7O3,False,True,-0.18311387582674138,0.832673328974213,0.027998214836571955,0,2,1,0,0,1,0,0
positive,C3H7O4_001,C3H7O4,False,True,-0.2796885308206688,0.7560191814616779,0.059526639814629655,0,2,2,0,0,2,0,0
positive,C3H7O_001,C3H7O,False,True,-0.1292621785102525,0.8787435476673736,0.014703127232294494,0,2,1,0,0,0,0,0
positive,C3H7O_002,C3H7O,False,True,-0.1292621785102525,0.8787435476673736,0.014703127232294494,0,2,1,0,0,0,0,0
positive,C3H7_001,C3H7,False,True,-0.08653922083281393,0.9170995786700726,0.006872479856679476,0,2,0,0,0,0,0,0
positive,C3H8O2_001,C3H8O2,False,True,-0.18311387582674138,0.832673328974213,0.027998214836571955,0,2,1,0,0,1,0,0
positive,C3H8_001,C3H8,False,True,-0.08653922083281393,0.9170995786700726,0.006872479856679476,0,2,0,0,0,0,0,0
positive,C4H10O2_001,C4H10O2,False,True,-0.22638348624314833,0.7974122463971673,0.04104179790984203,0,3,1,0,0,1,0,0
positive,C4H10_001,C4H10,False,True,-0.12980883124922088,0.8782633113733922,0.014819821357771662,0,3,0,0,0,0,0,0
positive,C4H5O_001,C4H5O,False,True,-0.14925510134204886,0.8613493554931312,0.01922400122217011,0,2,0,1,1,0,0,0
positive,C4H6O_001,C4H6O,False,True,-0.14925510134204886,0.8613493554931312,0.01922400122217011,0,2,0,1,1,0,0,0
positive,C4H6_001,C4H6,False,True,-0.10990221862766414,0.8959217354704256,0.010832285147488057,0,1,0,2,0,0,0,0
positive,C4H7O2_001,C4H7O2,False,True,-0.15920840765282723,0.852818606523217,0.021662362585767637,0,3,0,0,1,0,0,0
positive,C4H7O3_001,C4H7O3,False,True,-0.25578306264675466,0.7743099273195748,0.0509360089064956,0,3,1,0,1,1,0,0
positive,C4H7O3_002,C4H7O3,False,True,-0.25578306264675466,0.7743099273195748,0.0509360089064956,0,3,1,0,1,1,0,0
positive,C4H7O_001,C4H7O,False,True,-0.1625784826158811,0.8499493813568737,0.022515188155184922,0,2,1,1,0,0,0,0
positive,C4H7O_002,C4H7O,False,True,-0.1625784826158811,0.8499493813568737,0.022515188155184922,0,2,1,1,0,0,0,0
positive,C4H7O_003,C4H7O,False,True,-0.15920840765282723,0.852818606523217,0.021662362585767637,0,3,0,0,1,0,0,0
positive,C4H7_001,C4H7,False,True,-0.11985552493844251,0.887048583858659,0.012758022408334381,0,2,0,1,0,0,0,0
positive,C4H8O2_001,C4H8O2,False,True,-0.21643017993236996,0.8053887652577046,0.03787353268792079,0,2,1,1,0,1,0,0
positive,C4H8O2_002,C4H8O2,False,True,-0.15920840765282723,0.852818606523217,0.021662362585767637,0,3,0,0,1,0,0,0
positive,C4H8O3_001,C4H8O3,False,True,-0.25578306264675466,0.7743099273195748,0.0509360089064956,0,3,1,0,1,1,0,0
positive,C4H8O4_001,C4H8O4,False,True,-0.3130048349262974,0.7312463770379968,0.07222850985520259,0,2,2,1,0,2,0,0
positive,C4H8O_001,C4H8O,False,True,-0.1625784826158811,0.8499493813568737,0.022515188155184922,0,2,1,1,0,0,0,0
positive,C4H8O_002,C4H8O,False,True,-0.15920840765282723,0.852818606523217,0.021662362585767637,0,3,0,0,1,0,0,0
positive,C4H8O_003,C4H8O,True,True,-0.21525474660409805,0.8063360026527442,0.037505743868517905,0,3,2,0,0,0,0,0
